School Number,Division Name,School Name,English Reading 2018-2019 Adv Pass Rate,Writing 2018-2019 Adv Pass Rate,Geography 2018-2019 Adv Pass Rate,VA & US History 2018-2019 Adv Pass Rate,World History I 2018-2019 Adv Pass Rate,World History II 2018-2019 Adv Pass Rate,Algebra I 2018-2019 Adv Pass Rate,Algebra II 2018-2019 Adv Pass Rate,Geometry 2018-2019 Adv Pass Rate,Biology 2018-2019 Adv Pass Rate,Chemistry 2018-2019 Adv Pass Rate,Earth Science 2018-2019 Adv Pass Rate,Standard Diploma ,Advanced Studies Diploma ,Other Diploma ,Certificate of Program Completion ,GED Certificate ,ISAEP3,Total Graduates2 and Completers 2019-2020,Attending Two-year Colleges,Attending Four-year Colleges,Other Continuing Education Plans,Employment,Military,No Plans
1180,Bedford County  ,Liberty High,5,30,,5,0,5,1,4,4,8,3,1,85,91,9,,,2,187,43,68,13,53,10,
1190,Bedford County  ,Staunton River High,5,21,3,3,,2,3,25,1,13,21,0,97,112,17,,2,,228,96,61,12,52,7,
430,Botetourt County  ,James River High,5,23,15,19,26,0,10,14,13,11,12,4,60,77,,,,,137,56,36,9,30,4,2
440,Botetourt County  ,Lord Botetourt High,27,0,3,17,28,4,20,6,13,22,14,1,91,173,8,,1,,273,65,140,5,45,7,11
650,Brunswick County  ,Brunswick High,7,0,2,0,1,6,0,0,,2,4,6,84,41,4,,1,,130,25,44,6,47,2,6
1000,Buchanan County  ,Council High ,4,25,15,0,0,6,0,13,4,19,0,12,5,11,,1,,1,18,10,2,3,2,,1
990,Buchanan County  ,Grundy High,3,13,0,8,0,15,17,0,23,0,0,7,68,27,,2,,5,102,62,17,5,16,1,1
1020,Buchanan County  ,Hurley High,10,2,0,0,15,4,0,2,8,5,15,12,45,5,,3,1,,54,21,15,3,12,2,1
1042,Buchanan County  ,Twin Valley High,0,28,8,7,0,0,10,8,8,11,0,,28,10,,1,1,1,41,29,7,1,3,,1
720,Campbell County  ,Brookville High,2,15,3,12,0,0,0,3,14,0,17,19,108,117,3,,,5,233,67,91,14,49,8,4
222,Campbell County  ,Rustburg High,1,2,0,6,2,0,0,5,17,7,11,13,104,103,,,,1,208,58,87,6,42,9,6
460,Caroline County  ,Caroline High,3,11,5,11,8,4,6,28,11,1,0,0,138,122,6,,1,,267,77,112,8,56,14,
